book_id,author_id,filename,title,authors,isbn,pages,publisher,language,description,keywords,pub_type,cover_image
c249b77d8047cb31cbfda9cf7c6fdd99,0,,"Adolpho Lutz - Entomologia – Tabanídeos - v. 2, Livro 2","Benchimol, Jaime Larry (org.); Sá, Magali Romero (org.)",9788575414088,704,SciELO Books - Editora FIOCRUZ,PT,,"Pessoas famosas, Adolpho Lutz, Entomologia, Dípteros, História da medicina do século 20",book,
b9ac13767fc006f79e33e645c0529fa3,0,,Animal Metropolis: Histories of Human-Animal Relations in Urban Canada,Joanna Dean (Editor) ; Darcy Ingram (Editor); Christabelle Sethna (Editor),9781552388655,358,University of Calgary Press,English,,History;  Animals;  Environmental Science;  Anthropology,book,
e27f8dc53cf70fe7c15e3e69530090a8,0,,Arquivos da loucura: Juliano Moreira e a descontinuidade histórica da psiquiatria,"Portocarrero, Vera",9788575413883,152,SciELO Books - Editora FIOCRUZ,PT,,"Psiquiatria - história - Brasil, Transtornos mentais, Prática profissional",book,
51bf26723d017ac6bbcf259eb535d088,0,,Atlas de dermatologia em povos indígenas,"Rodrigues, Douglas A.; Tomimori, Jane; Floriano, Marcos C.; Mendonça, Sofia",9788561673680,160,SciELO Books - Editora Fap-Unifesp,PT,,"Atlas, Dermatopatias, Índios Sul Americanos",book,
02825ebdeded011a8543909ba92d10ff,0,,"Ciência, universidade e ideologa: a política do conhecimento","Schwartzman, Simon",9788599662502,142,SciELO Books - Centro Edelstein,PT,,Centro Edelstein,book,
8652d2e8c756683db3dbbde4ea4753be,0,,Equidade e saúde: contribuições da epidemiologia,"Barata, Rita Barradas (org.); Barreto, Maurício Lima (org.); Almeida Filho, Naomar de (org.); Veras, Renato Peixoto (org.)",9788575412640,260,SciELO Books - Editora FIOCRUZ,Pt,,"Epidemiologia, Política social, Mortalidade",book,
05685c68754241bae19b59eeb7319fae,0,,Erário Mineral - Vol. 1 e 2,"Furtado, Júnior Ferreira (org.)",9788575412404,821,SciELO Books - Editora FIOCRUZ,PT,,"Medicina - Minas Gerais - século XVIII, História econômica - Minas Gerais - século XVIII, Condições de vida - Minas Gerais - século XVIII, Medicamento - Minas Gerais - século XVIII, Doenças - minas Gerais - século XVIII",book,
ce788b2ac1a77a5b980fe41f8ee54924,0,,"Febre amarela: a doença e a vacina, uma história inacabada","Benchimol, Jaime Larry (coord.)",9788575413951,470,SciELO Books - Editora FIOCRUZ,PT,,"Vacina contra febre amarela-história, Febre amarela-história, febre amarela-prevenção & controle",book,
1f8743f252e546de59185187122e0370,0,,Formação de pessoal de nível médio para a saúde: desafios e perspectivas,Escola Politécnica de Saúde Joaquim Verâncio,9788575412671,224,SciELO Books - Editora FIOCRUZ,PT,,Pessoal técnico de saúde-educação,book,
9aae889f7b323d9fd1b74eec4b36edb2,0,,La métallurgie,André Pineau; Yves Quéré,9782759805389,,EDP SCIENCES,French,,Metallurgy,book,
49d9a954f84e3a31c632b4e5abe9a5dc,0,,La recherche face aux défis de l'énergie,Académie des sciences,9782759808267,,EDP SCIENCES,French,,Energy,book,
01d643910c22e9eb287f6aa660ce5886,0,, Laboratory of Ion Beam Physics ETH – Annual Report 2016,"Eidgenössische Technische Hochschule, Zürich (Hrsg.) ",9783952454251,130,LIBRUM Publishers & Editors LLC,English,,"physics, ion beam, ETH, C14, Radiocarbon",book,
530e64f6f4ce93c8ff15f35fd8c54e48,0,,Les cycles biogéochimiques et écosystèmes continentaux,Georges Pedro,9782868839381,,EDP SCIENCES,French,,Biochemistry,book,
59b9af6b1c60661180db75294ac794df,0,Soulignac_Les Scories de forge du Pays dogon_THESE.pdf," Les Scories de forge du Pays dogon (Mali) Entre ethnoarchéologie, archéologie expérimentale et archéométrie","Soulignac, Raphaëlle",9783952454299,209,LIBRUM Publishers & Editors LLC,French,,"Archaeology, metallurgy, Mali, thesis, archaeometallurgy, metal",book,
4eb6e3fede90d0da0cac70dafc2753d6,0,,L’épidémiologie humaine, A.J. Valleron,286883888X,,EDP SCIENCES,French,,Medical,book,
139f20299d0c90ce7f352e3d7b36c3c9,0,,"Mãos à obra, Brasil: proposta de governo","Cardoso, Fernando Henrique",9788599662663,136,SciELO Books - Centro Edelstein,PT,,Centro Edelstein,book,
3d6c6c93bff56bc239956d9d01ada142,0,, Slide 1	 Les Scories de forge du Pays dogon (Mali)	 Les Scories de forge du Pays dogon (Mali) – Annexe,"Soulignac, Raphaëlle  ",9783906897028,,LIBRUM Publishers & Editors LLC,French,,,book,
2241358efad961fb8fd17147c913feb7,0,,Sociedad civil y democracia en América Latina: crisis y reinvención de la política,"Sorj, Bernardo (ed.); Oliveira, Miguel Darcy de (ed.)",9788599662205,257,SciELO Books - Centro Edelstein,ES,,Centro Edelstein,book,
0515163dd41479ed1a9c7117644b3aed,0,,"Teoria epidemiológica hoje: fundamentos, interfaces e tendências","Almeida Filho, Naomar de (org.); Barreto, Maurício Lima (org.); Veras, Renato Peixoto (org.); Barata, Rita Barradas (org.)",9788575412794,256,SciELO Books - Editora FIOCRUZ,PT,,Epidemiologia,book,
335edda40f7cbdc526460b636b314b99,0,,Tópicos em malacologia médica,"Barbosa, Frederico Simões (org.)",9788575414019,314,SciELO Books - Editora FIOCRUZ,PT,,Moluscos,book,
8776538584e4ac5761a8746476b0a596,0,,"Turismo, cultura e desenvolvimento","Brasileiro, Maria Dilma Simões; Medina, Julio César Cabrera; Coriolano, Luiza Neide",9788578791940,240,SciELO Books - EDUEPB,PT,,"Turismo, Desenvolvimento Regional, Desenvolvimento e cultura, Turismo e cultura",book,
501974b61649c39294b20acc9acb2a6d,0,,"""""Livre de mes Anciens grand pères""""",Martine Barilly-Leguy,9782753501195 9782753531451,,Presses universitaires de Rennes,fr,,"histoire familiale, Ancien régime, magistrature, histoire de France",book,
4016d98e42a84e17f68a8b99ea9b3344,0,,"""... allerlei für die Nationalbibliothek zu ergattern..."" : Eine österreichische Institution in der NS-Zeit","Hall ,Murray G.; Köstner ,Christa",9783205775041,617 Seiten,Böhlau,de,,"National Library, Book Looting, Library History, National Socialism, 1938 - 1945",book,
9a0e57e8d0342b83e38b1a10a69a6c15,0,,"""... die Kunst zu sehn"" - Arthur Schopenhauers Mitschriften der Vorlesungen Johann Friedrich Blumenbachs (1809-1811)","Schopenhauer, Arthur; Stollberg, Jochen; Böker, Wolfgang",9783863951399,157,Universitätsverlag Göttingen,German,,History of the University; Arthur Schopenhauer; Johann Friedrich Blumenbach; Lecture Notes; Göttingen; Natural Sciences; History of the University; Arthur Schopenhauer; Johann Friedrich Blumenbach; Lecture Notes; Göttingen; Natural Sciences,book,
ee2863235456dbd60a502e02c0804324,0,,"""... mein Acker ist die Zeit"": Aufsätze zur Umweltgeschichte","Herrmann, Bernd",9783941875999,502,Universitätsverlag Göttingen,German,,environmental history; environmental history,book,
803aa023cd2bfee624acd6bdbde07420,0,,"""Adieu ihr lieben Schwarzen"" : Gesammelte Schriften des Tiroler Afrika-Missionars Franz Mayr (1865-1914)","Gütl ,Clemens",9783205771449,416 Seiten,Böhlau,de,,"cultural anthropology, Africa, catholic missionar, Franz Mayr",book,
88f1f6224bff459915005f1aa59588fe,0,,"""Apaisement"" in Asien. Frankreich und der Fernostkonflikt 1937-1940","Nies, Volker",9783486850444 9783486590128,590,De Gruyter,German,,,book,
362c247a66d8d2a3a6d9f4369e2a64b8,0,,"""Behinderung"" im Dialog zwischen Recht und Humangenetik","Duttge, Gunnar; Engel, Wolfgang; Zoll, Barbara",9783863951504,157,Universitätsverlag Göttingen,German,,Disability; Human Genetics; Social Ethics; Medical Law; Disability; Human Genetics; Social Ethics; Medical Law,book,
57843761703a8e4cae681d09da3928da,0,,"""Der französischen Sprache mächtig"". Kommunikation im Spannungsfeld von Sprachen und Kulturen im Königreich Westphalen 1807-1813","Paye, Claudie",9783486717297,600,De Gruyter,German,,,book,
2af23e0a70e3bbab269cc0aad0648542,0,,"""Écrire un seul livre, sans cesse renouvelé"" : Jorge Sempruns literarische Auseinandersetzung mit Buchenwald","Neuhofer ,Monika",9783465035015,364 Seiten,Vittorio Klostermann GmbH,de,,"Jorge Semprun, Memory, Holocaust-Literature, Intertextuality, Buchenwald, Identity",book,
204231136eb732f0145660bb35328acb,0,,"""Eine Medicinische Facultät in Flor bringen"" - zur Geschichte der Medizinischen Fakultät der Georg-August-Universität Göttingen","Zimmermann, Volker",9783940344984,143,Universitätsverlag Göttingen,German,,History of the University Hospital Goettingen; The Faculty of Medicine of the Georg-August-University Goettingen; History of the University Hospital Goettingen; The Faculty of Medicine of the Georg-August-University Goettingen,book,
d03c59a203cc1299308c747142c898f2,0,,"""Faire des sujets du roi"". Rechtspolitik in Metz, Toul und Verdun unter französischer Herrschaft (1552-1648)","Petry, Christine",9783486840148 9783486579819,334,De Gruyter,German,,,book,
c192fc14a252ed0abfc6c777d0c6b0a9,0,,"""Fit im Forst"" - eine bewegungsbezogene Intervention für Forstwirte","Rudolph, Sabrina",9783863951047,291,Universitätsverlag Göttingen,German,,Forest Work; Back Pain; Intervention; Sports; Balance Training; Physical Stress; Forest Work; Back Pain; Intervention; Sports; Balance Training; Physical Stress,book,
8921b90c3a7578fb328fb8434bfbe78b,0,,"The ""I"" of the Storm. Understanding the Suicidal Mind","Lester, David",9783110374827 9783110399226,169,De Gruyter,English,,Suicide;  diaries;  suicide notes,book,
c26b436dae58e218fbfc948e34d8168f,0,,"Das ""Janusgesicht"" der Menschenwürde - Regulierung im Spannungsfeld von Medienrecht und Medienethik Öffentliche Antrittsvorlesung am 28. Mai 2014 an der Georg-August-Universität Göttingen","Erdemir, Murad",9783863951795,35,Universitätsverlag Göttingen,German,,inaugural lecture; Human dignity; Ethics; Law; Media Law; inaugural lecture; Human dignity; Ethics; Law; Media Law,book,
f935df8c7a045554dde563823d6b2400,0,,"A ""Labyrinth of Linkages"" in Tolstoy's ""Anna Karenina""","Browning ,Gary L.",9781936235186 9781936235476 9781618116796,,Academic Studies Press,English,,Arts; Literary Criticism,book,
61511a6f559f189114c0a1d756887273,0,,"""Le mani sulla legge"": il lobbying tra free speech e democrazia",Riccardo De Caria,9788867056118,360,Ledizioni - LediPublishing,Italian,,,book,
578804c8c6bfeae4e4f66996fa98e4df,0,,"Il ""Libro di lettere"" di Girolamo Borsieri",Paolo Vanoli,9788867052899,320,Ledizioni - LediPublishing,italian,,,book,
dc982b32ead7df9a003d8bc138830530,0,,"""Meio quilo de gente"": um estudo antropológico sobre ultra-som obstétrico","Chazan, Lilian Krakowski",9788575413388,230,SciELO Books - Editora FIOCRUZ,pt,,JUVENILE NONFICTION,book,
5cf01dd423b326a72f1f39c05ce2173f,0,,"""Não é só a torcida organizada"": o que os  torcedores organizados têm a dizer sobre a violência no futebol?","Palhares, Marcelo Fadori Soares; Schwartz, Gisele Maria",9788579837425,128,SciELO Books - Editora UNESP,pt,,SPORTS & RECREATION,book,
b8eedb4d29ddff61c658c5066e8eee6c,0,,"""Ob Dir es sauer wird mit Deiner Nahrung und Ackerwerk, das laß Dich nicht verdrießen, denn Gott hat es also geschaffen"" - Gottfreid Dietrich Wilhelm Berthold (1854 - 1937) Ein Beitrag zur Geschichte der Biologie an der Georgia Augusta Göttingen","Ruttig, Katharina; Friedl, Thomas; Wissemann, Volker",9783863950224,159,Universitätsverlag Göttingen,German,,Berthold; history of science; biology; biographical works; history of university institutions; Berthold; history of science; biology; biographical works; history of university institutions,book,
b759fe915b8d1131d96ac72718f42110,0,,"""One rotten apple spoils the whole barrel"": The plant hormone ethylene, the small molecule and its complexity",Domenico De Martinis; Tomotsugu Koyama; Caren Chang,9782889196234,132,Frontiers Media SA,English,,ethylene; C2H4; Plant hormone; Plant Biochemistry; Plant molecular biology; plant physiology; Plant Pathology; Plant Stress; plant development; plant reproduction,book,
17cadab714c863f0fab0a00ae65e0b40,0,,"""Politique de la grandeur"" versus ""Made in Germany"". Politische Kulturgeschichte der Technik am Beispiel der PAL-SECAM-Kontroverse","Fickers, Andreas",9783486581782 9783486842289,436,De Gruyter,German,,,book,
fbd4ff0e761d448ac98e70048a3b0b5e,0,,"""Production Ergonomics : Designing Work Systems to Support Optimal Human Performance""",,9781911529125 9781911529132 9781911529149 9781911529156,296,Ubiquity Press,English,,Ergonomics; Human factors; Production; Manufacturing; Work environment; Safety,book,
3cc7716c9df7a468c8f06922897e1fcf,0,,"""Schönheit gibt es nur noch im Kampf"" - Zum Verhältnis von Gewalt und Ästhetik im italienischen Futurismus","Hans, Henrike",9783863952426,,Universitätsverlag Göttingen,German,,Italian Futurism; aesthetics; painting; Italian Futurism; aesthetics; painting,book,
0850dc3538969132405a8f3e133ff9a8,0,,"""Spongy, slimy, cosy & more"" - Commemorative Volume in Celebration of the 60th Birthday of Joachim Reitner","Wiese, Frank; Reich, Mike; Arp, Gernot",9783863951658,,Universitätsverlag Göttingen,English,,geobiology; geology; palaeontology.; geobiology; geology; palaeontology.,book,
551cc8c8c865db3a58ba1abbd5438f4d,0,,"""Von einem sensationellen Erlebnis zum anderen getrieben..."" - Kriminalheftromane und die Zeitgestalt 'Serialität' in den 1920er und 1930er Jahren","Weiland, Gudrun",9783863953096,,Universitätsverlag Göttingen,German,,C; C,book,
